"sec","power","rP","rG","pctP"
61,400,4293.6438075866,13196.8990883091,85.8728761517321
62,400,4158.2062147041,13154.2468821711,83.164124294082
63,400,4040.34988674577,13095.1148278825,80.8069977349154
64,400,3937.50167868007,13022.0328833056,78.7500335736014
65,400,3847.47853363567,12937.1426115353,76.9495706727133
66,400,3768.42779080787,12842.2568065944,75.3685558161575
67,400,3698.77664960236,12738.909965494,73.9755329920472
68,400,3637.1893846641,12628.4010119109,72.7437876932819
69,400,3582.53112217486,12511.8294609996,71.6506224434971
70,400,3532.91144313118,12391.0517595329,70.6582288626236
71,400,3484.74330183362,12269.6223130497,69.6948660366723
72,400,3437.77445730489,12147.7620022058,68.7554891460979
73,400,3391.80711678187,12025.6384890987,67.8361423356374
74,400,3346.68401177037,11903.3800929971,66.9336802354074
75,400,3302.27861325302,11781.0855288083,66.0455722650603
76,400,3258.48808934736,11658.8309049117,65.1697617869473
77,400,3215.2281305308,11536.6748551702,64.304562610616
78,400,3172.42907772945,11414.6623697551,63.4485815545889
79,400,3130.03297899859,11292.82769899,62.6006595799717
80,400,3087.99132081036,11171.1965841355,61.7598264162073
81,120,3118.42289793417,11177.0384080902,62.3684579586835
82,120,3148.37735535646,11182.8713188406,62.9675471071291
83,120,3177.86204929643,11188.6953299861,63.5572409859286
84,120,3206.88422466492,11194.5104551053,64.1376844932984
85,120,3235.45101671325,11200.3167077561,64.709020334265
86,120,3263.5694526583,11206.1141014758,65.2713890531659
87,120,3291.24645328405,11211.9026497809,65.8249290656811
88,120,3318.48883451999,11217.6823661674,66.3697766903997
89,120,3345.30330899656,11223.4532641107,66.9060661799312
90,120,3371.69648757822,11229.2153570655,67.4339297515644
91,120,3397.67488087419,11234.9686584661,67.9534976174838
92,120,3423.24490072733,11240.7131817263,68.4648980145467
93,120,3448.41286168144,11246.4489402394,68.9682572336288
94,120,3473.18498242725,11252.1759473784,69.4636996485451
95,120,3497.56738722747,11257.8942164955,69.9513477445493
96,120,3521.56610732106,11263.6037609231,70.4313221464212
97,120,3545.18708230724,11269.3045939727,70.9037416461448
98,120,3568.43616150926,11274.9967289359,71.3687232301852
99,120,3591.31910531842,11280.6801790839,71.8263821063684
100,120,3613.84158651854,11286.3549576675,72.2768317303707
101,120,3636.00919159112,11292.0210779174,72.7201838318224
102,120,3657.82742200158,11297.6785530442,73.1565484400316
103,120,3679.3016954667,11303.3273962382,73.5860339093339
104,120,3700.43734720363,11308.9676206697,74.0087469440727
105,120,3721.23963116076,11314.5992394887,74.4247926232152
106,120,3741.71372123051,11320.2222658254,74.8342744246102
107,120,3761.86471244458,11325.8367127898,75.2372942488917
108,120,3781.69762215171,11331.442593472,75.6339524430342
109,120,3801.2173911782,11337.039920942,76.0243478235641
110,120,3820.42888497159,11342.6287082499,76.4085776994319
111,120,3839.33689472756,11348.2089684259,76.7867378945511
112,120,3857.94613850037,11353.7807144805,77.1589227700075
113,120,3876.26126229716,11359.3439594039,77.5252252459433
114,120,3894.28684115612,11364.898716167,77.8857368231223
115,120,3912.02738020896,11370.4449977206,78.2405476041791
116,120,3929.48731572785,11375.9828169958,78.5897463145571
117,120,3946.67101615702,11381.512186904,78.9334203231405
118,120,3963.58278312921,11387.0331203368,79.2716556625842
119,120,3980.22685246727,11392.5456301664,79.6045370493455
120,120,3996.60739517112,11398.0497292449,79.9321479034224
121,400,3830.49306564471,11374.8661562474,76.6098613128942
122,400,3685.38826804536,11332.213944121,73.7077653609071
123,400,3558.24379120444,11273.0818847633,71.1648758240888
124,400,3446.47162720363,11199.9999358956,68.9294325440727
125,400,3347.87443905085,11115.1096604932,66.957488781017
126,400,3260.58584573851,11020.2238524777,65.2117169147702
127,400,3183.01986443468,10916.8770087748,63.6603972886936
128,400,3113.82810441988,10806.3680529887,62.2765620883977
129,400,3051.86352311921,10689.7965002126,61.0372704623841
130,400,2996.14973719751,10568.0930698791,59.9229947439501
131,400,2945.85503626877,10442.0455989789,58.9171007253753
132,400,2897.08339922456,10315.5079555256,57.9416679844912
133,400,2849.41344217677,10188.8610231587,56.9882688435353
134,400,2802.6777199323,10062.2333348606,56.0535543986461
135,400,2756.74134579213,9935.72239088887,55.1348269158425
136,400,2711.49452411372,9809.40206638806,54.2298904822744
137,400,2666.84706519461,9683.32803902553,53.3369413038922
138,400,2622.72428294739,9557.54183608981,52.4544856589478
139,400,2579.06387799037,9432.07389833881,51.5812775598074
140,400,2535.8135364785,9306.94593018834,50.7162707295701
141,120,2572.22867893293,9315.63214779428,51.4445735786586
142,120,2608.11764650798,9324.30511234213,52.1623529301596
143,120,2643.48785117218,9332.96484405283,52.8697570234435
144,120,2678.34660347719,9341.61136311649,53.5669320695438
145,120,2712.70111389953,9350.24468969239,54.2540222779906
146,120,2746.55849416521,9358.86484390907,54.9311698833042
147,120,2779.92575855756,9367.47184586433,55.5985151711511
148,120,2812.80982520838,9376.06571562535,56.2561965041676
149,120,2845.21751737266,9384.64647322866,56.9043503474531
150,120,2877.15556468703,9393.21413868023,57.5431112937406
151,120,2908.63060441219,9401.76873195549,58.1726120882439
152,120,2939.64918265946,9410.31027299942,58.7929836531893
153,120,2970.21775560168,9418.83878172655,59.4043551120337
154,120,3000.34269066864,9427.35427802103,60.0068538133728
155,120,3030.03026772722,9435.85678173667,60.6006053545443
156,120,3059.28668024643,9444.34631269699,61.1857336049287
157,120,3088.11803644761,9452.82289069526,61.7623607289521
158,120,3116.53036043974,9461.28653549456,62.3306072087947
159,120,3144.52959334037,9469.73726682781,62.8905918668075
160,120,3172.12159438212,9478.17510439782,63.4424318876424
161,120,3199.3121420049,9486.60006787734,63.9862428400981
162,120,3226.10693493427,9495.01217690911,64.5221386986854
163,120,3252.51159324579,9503.41145110588,65.0502318649158
164,120,3278.53165941581,9511.79791005051,65.5706331883163
165,120,3304.17259935869,9520.17157329594,66.0834519871738
166,120,3329.43980345067,9528.53246036532,66.5887960690135
167,120,3354.3385875406,9536.88059075198,67.0867717508121
168,120,3378.87419394761,9545.21598391953,67.5774838789522
169,120,3403.05179244592,9553.53865930185,68.0610358489184
170,120,3426.876481237,9561.84863630321,68.5375296247399
171,120,3450.35328790912,9570.14593429825,69.0070657581825
172,120,3473.48717038457,9578.43057263206,69.4697434076914
173,120,3496.28301785458,9586.70257062019,69.9256603570915
174,120,3518.74565170219,9594.96194754876,70.3749130340438
175,120,3540.87982641323,9603.20872267442,70.8175965282647
176,120,3562.69023047541,9611.44291522447,71.2538046095082
177,120,3584.18148726583,9619.66454439686,71.6836297453166
178,120,3605.358155927,9627.87362936027,72.1071631185401
179,120,3626.22473223149,9636.07018925409,72.5244946446298
180,120,3646.78564943532,9644.25424318854,72.9357129887064
181,400,3477.20853499814,9621.07067019072,69.5441706999629
182,400,3328.77673022643,9578.41845806398,66.5755346045287
183,400,3198.4357000303,9519.28639870614,63.968714000606
184,400,3083.59232132409,9446.20444983816,61.6718464264818
185,400,2982.04434251696,9361.31417443563,59.6408868503393
186,400,2891.92066070676,9266.42836642004,57.8384132141351
187,400,2811.6307563151,9163.08152271696,56.2326151263021
188,400,2739.82187976445,9052.57256693077,54.796437595289
189,400,2675.34280053508,8936.0010141546,53.5068560107016
190,400,2617.21311155871,8814.29758382105,52.3442622311741
191,400,2564.59723648902,8688.25011292079,51.2919447297803
192,400,2515.20516147196,8560.10274783916,50.3041032294391
193,400,2466.94924241676,8431.89906368736,49.3389848483352
194,400,2419.65853177696,8303.76766700172,48.3931706355392
195,400,2373.19526652274,8175.80564001665,47.4639053304549
196,400,2327.44725440488,8048.0860893028,46.5489450880977
197,400,2282.32228203293,7920.6636751434,45.6464456406587
198,400,2237.74393325231,7793.57873306423,44.7548786650461
199,400,2193.64841249327,7666.86039274787,43.8729682498654
200,400,2149.98209801629,7540.52896931564,42.9996419603258
201,120,2189.42605234478,7551.91031012202,43.7885210468957
202,120,2228.34001881302,7563.27428576699,44.5668003762604
203,120,2266.73088063749,7574.62092274556,45.3346176127498
204,120,2304.60543511264,7585.95024751232,46.0921087022529
205,120,2341.97039463404,7597.2622864815,46.8394078926807
206,120,2378.83238771001,7608.55706602703,47.5766477542001
207,120,2415.19795996195,7619.8346124826,48.303959199239
208,120,2451.07357511334,7631.09495214172,49.0214715022668
209,120,2486.4656159676,7642.33811125777,49.7293123193521
210,120,2521.38038537496,7653.5641160441,50.4276077074991
211,120,2555.82410718835,7664.77299267405,51.116482143767
212,120,2589.8029272086,7675.96476728101,51.796058544172
213,120,2623.32291411884,7687.13946595853,52.4664582823768
214,120,2656.3900604084,7698.29711476032,53.127801208168
215,120,2689.01028328623,7709.43773970036,53.7802056657245
216,120,2721.18942558395,7720.56136675291,54.4237885116789
217,120,2752.93325664871,7731.66802185263,55.0586651329742
218,120,2784.24747322586,7742.7577308946,55.6849494645172
219,120,2815.13770033163,7753.83051973438,56.3027540066326
220,120,2845.60949211587,7764.88641418809,56.9121898423175
221,120,2875.66833271501,7775.92544003246,57.5133666543003
222,120,2905.31963709525,7786.94762300489,58.106392741905
223,120,2934.56875188619,7797.95298880351,58.6913750377238
224,120,2963.42095620496,7808.94156308725,59.2684191240992
225,120,2991.8814624709,7819.91337147587,59.837629249418
226,120,3019.95541721099,7830.86843955006,60.3991083442198
227,120,3047.64790185603,7841.80679285148,60.9529580371205
228,120,3074.96393352771,7852.72845688281,61.4992786705543
229,120,3101.90846581676,7863.63345710781,62.0381693163353
230,120,3128.48638955204,7874.52181895141,62.5697277910409
231,120,3154.70253356095,7885.39356779974,63.0940506712189
232,120,3180.56166542099,7896.2487290002,63.6112333084198
233,120,3206.06849220283,7907.0873278615,64.1213698440567
234,120,3231.22766120474,7917.90938965375,64.6245532240947
235,120,3256.04376067855,7928.7149396085,65.120875213571
236,120,3280.52132054739,7939.5040029188,65.6104264109478
237,120,3304.66481311503,7950.27660473928,66.0932962623006
238,120,3328.47865376711,7961.03277018615,66.5695730753421
239,120,3351.96720166424,7971.77252433735,67.0393440332848
240,120,3375.13476042717,7982.49589223251,67.5026952085435
241,400,3204.36591544974,7959.31231923468,64.0873183089949
242,400,3054.78910856064,7916.66010710795,61.0957821712129
243,400,2923.34797242232,7857.5280477501,58.4669594484463
244,400,2807.4476235449,7784.44609888213,56.148952470898
245,400,2704.88411895977,7699.55582347959,54.0976823791955
246,400,2613.78473070688,7604.67001546401,52.2756946141376
247,400,2532.55737786938,7501.32317176093,50.6511475573877
248,400,2459.84781075221,7390.81421597473,49.1969562150443
249,400,2394.50335753859,7274.24266319857,47.8900671507717
250,400,2335.54222637722,7152.53923286501,46.7108445275445
251,400,2282.12751043693,7026.49176196476,45.6425502087386
252,400,2232.52190934199,6897.79040508896,44.6504381868399
253,400,2184.06432924298,6769.05095891516,43.6812865848597
254,400,2136.58261724526,6640.40205529362,42.7316523449052
255,400,2089.93802041888,6511.94063259446,41.7987604083776
256,400,2044.01752171334,6383.73953288072,40.8803504342668
257,400,1998.72821127831,6255.85306629902,39.9745642255663
258,400,1953.99307755004,6128.32115822547,39.0798615510009
259,400,1909.74781004002,6001.17248713114,38.1949562008003
260,400,1865.93833689186,5874.42689000637,37.3187667378372
261,120,1906.8636212204,5888.35029787151,38.137272424408
262,120,1947.2735672149,5902.2524619984,38.945471344298
263,120,1987.1743949423,5916.13341479982,39.7434878988461
264,120,2026.57225308291,5929.9931886391,40.5314450616582
265,120,2065.47321970072,5943.83181583018,41.3094643940145
266,120,2103.88330300612,5957.64932863773,42.0776660601224
267,120,2141.80844211087,5971.44575927716,42.8361688422174
268,120,2179.25450777566,5985.22113991473,43.5850901555132
269,120,2216.22730315011,5998.97550266764,44.3245460630021
270,120,2252.73256450533,6012.70887960407,45.0546512901066
271,120,2288.77596195924,6026.42130274329,45.7755192391847
272,120,2324.36310019449,6040.11280405569,46.4872620038898
273,120,2359.49951916926,6053.7834154629,47.1899903833851
274,120,2394.19069482083,6067.43316883784,47.8838138964166
275,120,2428.44203976215,6081.06209600481,48.5688407952431
276,120,2462.25890397133,6094.67022873954,49.2451780794266
277,120,2495.64657547416,6108.25759876927,49.9129315094832
278,120,2528.61028101982,6121.82423777286,50.5722056203963
279,120,2561.15518674967,6135.37017738081,51.2231037349934
280,120,2593.28639885933,6148.89544917538,51.8657279771866
281,120,2625.00896425403,6162.40008469062,52.5001792850807
282,120,2656.32787119732,6175.88411541249,53.1265574239464
283,120,2687.24804995318,6189.3475727789,53.7449609990635
284,120,2717.77437342164,6202.79048817978,54.3554874684329
285,120,2747.91165776795,6216.21289295719,54.958233155359
286,120,2777.66466304525,6229.61481840536,55.553293260905
287,120,2807.03809381101,6242.99629577077,56.1407618762202
288,120,2836.03659973712,6256.35735625223,56.7207319947425
289,120,2864.66477621379,6269.69803100094,57.2932955242758
290,120,2892.92716494721,6283.01835112057,57.8585432989443
291,120,2920.8282545512,6296.31834766735,58.4165650910239
292,120,2948.37248113268,6309.59805165012,58.9674496226536
293,120,2975.56422887128,6322.85749403039,59.5112845774256
294,120,3002.40783059288,6336.09670572246,60.0481566118576
295,120,3028.90756833733,6349.31571759343,60.5781513667467
296,120,3055.06767392032,6362.51456046332,61.1013534784063
297,120,3080.89232948944,6375.69326510514,61.6178465897887
298,120,3106.38566807458,6388.85186224492,62.1277133614915
299,120,3131.55177413259,6401.99038256184,62.6310354826518
300,120,3156.39468408638,6415.10885668824,63.1278936817275
301,400,2985.2157005306,6391.92528369041,59.7043140106119
302,400,2835.24483682683,6349.27307156368,56.7048967365366
303,400,2703.42509506254,6290.14101220583,54.0685019012508
304,400,2587.1609858981,6217.05906333786,51.743219717962
305,400,2484.24798427082,6132.16878793532,49.6849596854164
306,400,2392.81280295081,6037.28297991973,47.8562560590161
307,400,2311.26282368068,5933.93613621665,46.2252564736136
308,400,2238.24328049425,5823.42718043046,44.764865609885
309,400,2172.60100554689,5706.85562765429,43.4520201109377
310,400,2113.353730409,5585.15219732074,42.26707460818
311,400,2059.66409035799,5459.10472642048,41.1932818071597
312,400,2009.98500345475,5330.21271117083,40.1997000690951
313,400,1961.45802094385,5201.2888804683,39.229160418877
314,400,1913.9105751055,5072.46187487504,38.2782115021101
315,400,1867.20357233188,4943.82858324974,37.3440714466376
