"sec","power","rP","rG","pctP"
118,400,1586.96869992185,6511.15169438921,31.7393739984369
119,400,1551.61184138544,6405.85655784673,31.0322368277089
120,400,1516.36322769526,6300.76510222493,30.3272645539053
121,120,1562.5204329357,6314.0380215404,31.250408658714
122,120,1608.08687114648,6327.29068960514,32.1617374229296
123,120,1653.06980570318,6340.52313731763,33.0613961140637
124,120,1697.47641482677,6353.73539552921,33.9495282965354
125,120,1741.31379252589,6366.92749504416,34.8262758505178
126,120,1784.58894952957,6380.09946661976,35.6917789905913
127,120,1827.30881421022,6393.25134096635,36.5461762842044
128,120,1869.48023349721,6406.38314874741,37.3896046699442
129,120,1911.10997378092,6419.49492057967,38.2221994756184
130,120,1952.20472180752,6432.58668703309,39.0440944361504
131,120,1992.77108556449,6445.65847863105,39.8554217112897
132,120,2032.81559515693,6458.7103258503,40.6563119031386
133,120,2072.34470367487,6471.74225912113,41.4468940734974
134,120,2111.36478805149,6484.75430882739,42.2272957610299
135,120,2149.88214991253,6497.74650530657,42.9976429982507
136,400,2030.10481945415,6464.36074387118,40.602096389083
137,400,1928.99190321011,6413.07256567815,38.5798380642022
138,400,1843.76895689814,6346.63031886842,36.8753791379629
139,400,1772.08443935441,6267.3604299169,35.4416887870881
140,400,1711.94490182557,6177.23217631892,34.2388980365114
141,400,1661.66012253774,6077.91251548551,33.2332024507547
142,400,1614.24972674022,5976.35942959143,32.2849945348044
143,400,1568.93610096914,5873.32897757488,31.3787220193829
144,400,1525.29179439418,5769.22786137215,30.5058358878837
145,400,1482.99760189578,5664.35531168787,29.6599520379156
146,400,1441.80985838317,5558.9357637413,28.8361971676633
147,400,1401.53918630974,5453.14008098419,28.0307837261949
148,400,1362.03618965381,5347.09983347653,27.2407237930763
149,400,1323.18153087749,5240.91719436343,26.4636306175498
150,400,1284.87886856958,5134.67197670495,25.6975773713916
151,400,1247.04971780564,5028.42674858515,24.9409943561128
152,400,1209.62963648438,4922.23062320217,24.1925927296875
153,400,1172.56534715759,4816.1221143846,23.4513069431517
154,400,1135.81253237734,4710.13131947448,22.7162506475467
155,400,1099.33412382331,4604.28160927935,21.9866824764663
156,400,1063.09895937974,4498.59095089077,21.2619791875948
157,400,1027.08071843712,4393.07295306198,20.5416143687424
158,400,991.257070357102,4287.73769917588,19.825141407142
159,400,955.608988190674,4182.5924156834,19.1121797638135
160,400,920.120191868099,4077.6420117658,18.402403837362
161,400,884.776693787458,3972.88951726652,17.6955338757492
162,400,849.566426072275,3868.33643959619,16.9913285214455
163,400,814.478933451794,3763.98305563187,16.2895786690359
164,400,779.505119218483,3659.82865113202,15.5901023843697
165,400,744.637034365519,3555.8717175411,14.8927406873104
166,120,796.155302021254,3573.33267739722,15.9231060404251
167,120,847.077800660581,3590.76699607006,16.9415560132116
168,120,897.411054176121,3608.17471420759,17.9482210835224
169,120,947.161519636077,3625.55587239577,18.9432303927215
170,120,996.335587912804,3642.91051115862,19.9267117582561
171,120,1044.9395843061,3660.23867095835,20.898791686122
172,120,1092.97976916128,3677.54039219542,21.8595953832255
173,120,1140.46233848205,3694.81571520867,22.8092467696409
174,120,1187.39342453825,3712.06468027535,23.7478684907649
175,120,1233.77909646845,3729.28732761131,24.6755819293689
176,120,1279.62536087748,3746.483697371,25.5925072175496
177,120,1324.93816242892,3763.65382964762,26.4987632485784
178,120,1369.72338443256,3780.79776447319,27.3944676886512
179,120,1413.98684942692,3797.91554181868,28.2797369885384
180,120,1457.73431975679,3815.00720159402,29.1546863951357
181,400,1370.27026057138,3781.62144015688,27.4054052114276
182,400,1288.0540449371,3730.33326196237,25.7610808987419
183,400,1210.77080224087,3663.89101515138,24.2154160448174
184,400,1140.38541571322,3584.6211261988,22.8077083142644
185,400,1081.53666357223,3494.49287259992,21.6307332714446
186,400,1031.87068424156,3395.83670815756,20.6374136848313
187,400,984.865659089611,3295.15192634039,19.6973131817922
188,400,939.938422880638,3193.00001561332,18.7987684576128
189,400,896.665163371404,3089.78392695987,17.9333032674281
190,400,854.729378894298,2985.80008470295,17.094587577886
191,400,813.889455701923,2881.27077879898,16.2777891140385
192,400,773.957599462229,2776.36520416779,15.4791519892446
193,400,734.785653134921,2671.21361478101,14.6957130626984
194,400,696.255259904432,2565.91713378919,13.9251051980886
195,400,658.270862036505,2460.55472877758,13.1654172407301
196,400,620.754605801554,2355.18828196622,12.4150921160311
197,400,583.642560884208,2249.86634689536,11.6728512176842
198,400,548.624007231156,2142.88483860597,10.9724801446231
199,400,515.706566797286,2034.22187981889,10.3141313359457
200,400,484.764172789449,1923.9898104781,9.69528345578898
201,400,455.678322422082,1812.29391461009,9.11356644844164
202,400,428.337623076757,1699.23285457499,8.56675246153515
203,400,402.637365692152,1584.89907885158,8.05274731384304
204,400,378.479123750623,1469.3792049603,7.56958247501245
205,400,355.770376325585,1352.75437903117,7.11540752651171
206,400,334.42415374605,1235.10061343257,6.68848307492101
207,400,314.358704521287,1116.48910379161,6.28717409042574
208,400,295.49718225001,996.986526655842,5.9099436450002
209,400,277.767351315009,876.655318971209,5.55534702630019
210,400,261.101310236109,755.553940479581,5.22202620472218
211,120,313.832578202144,777.287505035933,6.27665156404288
212,120,366.009846127249,798.987909452091,7.32019692254498
213,120,417.638540282089,820.655204322373,8.35277080564179
214,120,468.724038321753,842.289440163905,9.37448076643506
215,120,519.271669671705,863.890667416732,10.3854333934341
216,120,569.286715911191,885.458936443945,11.3857343182238
217,120,618.774411154109,906.994297531788,12.3754882230822
218,120,667.739942427346,928.496800889784,13.3547988485469
219,120,716.188450046608,949.966496650847,14.3237690009322
220,120,764.125027989744,971.403434871401,15.2825005597949
221,120,811.55472426758,992.807665531495,16.2310944853516
222,120,858.482541292274,1014.17923853492,17.1696508258455
223,120,904.913436243206,1035.51820370933,18.0982687248641
224,120,950.852321430408,1056.82461080635,19.0170464286082
225,120,996.304064655553,1078.0985095017,19.9260812931111
226,400,936.52582077622,1044.71274806456,18.7305164155244
227,400,880.334271529647,993.424569870051,17.6066854305929
228,400,827.514215237868,926.98232305906,16.5502843047574
229,400,777.863362323596,847.712434106476,15.5572672464719
230,400,731.19156058418,757.584180507598,14.6238312116836
231,400,687.32006694913,658.264519673433,13.7464013389826
232,400,646.080862932182,552.687404582006,12.9216172586436
233,400,607.316011156251,445.23839810515,12.146320223125
234,400,570.877050486876,336.045133761047,11.4175410097375
235,400,536.624427457663,225.227123176328,10.7324885491533
236,400,504.426961810203,112.896260076691,10.0885392362041
237,400,474.161344101591,0,9.48322688203183
238,400,445.711663455496,0,8.91423326910992
239,400,418.968963648166,0,8.37937927296332
240,400,393.830825829276,0,7.87661651658552
241,400,370.20097627952,0,7.40401952559039
242,400,347.988917702748,0,6.95977835405497
243,400,327.109582640583,0,6.54219165281167
244,400,307.483007682148,0,6.14966015364297
245,400,289.03402722122,0,5.78068054442439
246,400,271.691985587946,0,5.43383971175893
247,400,255.39046645267,0,5.10780932905339
248,400,240.067038465509,0,4.80134076931019
249,400,225.663016157579,0,4.51326032315158
250,400,212.123235188124,0,4.24246470376248
251,400,199.395841076837,0,3.98791682153673
252,400,187.432090612226,0,3.74864181224453
253,400,176.186165175493,0,3.52372330350986
254,400,165.614995264963,0,3.31229990529927
255,400,155.678095549065,0,3.11356191098131
256,120,208.431066277023,22.8863563372754,4.16862132554046
257,120,260.643357001103,45.7377936541243,5.21286714002206
258,120,312.320111537589,68.5543652284898,6.24640223075178
259,120,363.466429234226,91.3361242570255,7.26932858468453
260,120,414.087365307033,114.08312385522,8.28174730614067
261,120,464.187931175038,136.795417057521,9.28375862350076
262,120,513.773094792955,159.473056817457,10.2754618958591
263,120,562.847780981804,182.116096007765,11.2569556196361
264,120,611.416871757488,204.724587420508,12.2283374351498
265,120,659.485206657325,227.298583767203,13.1897041331465
266,120,707.057583064559,249.838137678941,14.1411516612912
267,120,754.138756530837,272.343301706512,15.0827751306167
268,120,800.733441096688,294.814128320526,16.0146688219338
269,120,846.84630960998,317.250669911534,16.9369261921996
270,120,892.481994042395,339.652978790154,17.8496398808479
271,400,838.933074399851,306.267217353012,16.778661487997
272,400,788.59708993586,254.979039158505,15.7719417987172
273,400,741.281264539708,188.536792347514,14.8256252907942
274,400,696.804388667326,109.266903394931,13.9360877733465
275,400,654.996125347286,19.1386497960523,13.0999225069457
276,400,615.696357826449,0,12.313927156529
277,400,578.754576356862,0,11.5750915271372
278,400,544.02930177545,0,10.880586035509
279,400,511.387543668923,0,10.2277508733785
280,400,480.704291048788,0,9.61408582097576
281,400,451.862033585861,0,9.03724067171721
