"sec","power","rP","rG","pctP"
79,300,3925.25645720616,12124.7435427938,78.5051291441232
80,300,3912.75644202242,12087.2435579776,78.2551288404484
81,300,3900.25642916966,12049.7435708303,78.0051285833933
82,300,3887.75641829004,12012.24358171,77.7551283658009
83,300,3875.25640908065,11974.7435909194,77.5051281816129
84,300,3862.75640128506,11937.2435987149,77.2551280257012
85,300,3850.25639468624,11899.7436053138,77.0051278937248
86,300,3837.75638910046,11862.2436108995,76.7551277820092
87,300,3825.2563843722,11824.7436156278,76.5051276874439
88,300,3812.75638036981,11787.2436196302,76.2551276073962
89,300,3800.25637698186,11749.7436230181,76.0051275396373
90,300,3787.75637411403,11712.243625886,75.7551274822806
91,300,3775.25637168646,11674.7436283135,75.5051274337292
92,300,3762.75636963157,11637.2436303684,75.2551273926313
93,300,3750.25636789214,11599.7436321079,75.0051273578427
94,300,3737.75636641974,11562.2436335803,74.7551273283948
95,300,3725.25636517338,11524.7436348266,74.5051273034677
96,300,3712.75636411837,11487.2436358816,74.2551272823673
97,300,3700.25636322531,11449.7436367747,74.0051272645063
98,300,3687.75636246936,11412.2436375306,73.7551272493872
99,300,3675.25636182946,11374.7436381705,73.5051272365892
100,300,3662.7563612878,11337.2436387122,73.2551272257559
101,300,3650.25636082929,11299.7436391707,73.0051272165858
102,300,3637.75636044117,11262.2436395588,72.7551272088234
103,300,3625.25636011263,11224.7436398874,72.5051272022527
104,300,3612.75635983453,11187.2436401655,72.2551271966907
105,300,3600.25635959913,11149.7436404009,72.0051271919826
106,300,3587.75635939986,11112.2436406001,71.7551271879972
107,300,3575.25635923118,11074.7436407688,71.5051271846237
108,300,3562.7563590884,11037.2436409116,71.2551271817681
109,300,3550.25635896754,10999.7436410325,71.0051271793509
110,300,3537.75635886524,10962.2436411348,70.7551271773047
111,300,3525.25635877863,10924.7436412214,70.5051271755727
112,300,3512.75635870533,10887.2436412947,70.2551271741065
113,300,3500.25635864328,10849.7436413567,70.0051271728655
114,300,3487.75635859075,10812.2436414093,69.755127171815
115,300,3475.25635854629,10774.7436414537,69.5051271709257
116,300,3462.75635850865,10737.2436414914,69.255127170173
117,300,3450.25635847679,10699.7436415232,69.0051271695358
118,300,3437.75635844982,10662.2436415502,68.7551271689965
119,300,3425.256358427,10624.743641573,68.5051271685399
120,300,3412.75635840767,10587.2436415923,68.2551271681535
121,300,3400.25635839132,10549.7436416087,68.0051271678263
122,300,3387.75635837747,10512.2436416225,67.7551271675494
123,300,3375.25635836575,10474.7436416343,67.505127167315
124,300,3362.75635835583,10437.2436416442,67.2551271671166
125,300,3350.25635834743,10399.7436416526,67.0051271669486
126,300,3337.75635834032,10362.2436416597,66.7551271668064
127,300,3325.25635833431,10324.7436416657,66.5051271666861
128,300,3312.75635832921,10287.2436416708,66.2551271665842
129,300,3300.2563583249,10249.7436416751,66.005127166498
130,300,3287.75635832125,10212.2436416788,65.755127166425
131,300,3275.25635831816,10174.7436416818,65.5051271663632
132,300,3262.75635831555,10137.2436416845,65.2551271663109
133,300,3250.25635831333,10099.7436416867,65.0051271662666
134,300,3237.75635831146,10062.2436416885,64.7551271662292
135,300,3225.25635830987,10024.7436416901,64.5051271661974
136,300,3212.75635830853,9987.24364169148,64.2551271661706
137,300,3200.25635830739,9949.74364169261,64.0051271661478
138,300,3187.75635830643,9912.24364169357,63.7551271661286
139,300,3175.25635830562,9874.74364169439,63.5051271661123
140,300,3162.75635830493,9837.24364169508,63.2551271660985
141,300,3150.25635830434,9799.74364169566,63.0051271660869
142,300,3137.75635830385,9762.24364169616,62.755127166077
143,300,3125.25635830343,9724.74364169658,62.5051271660686
144,300,3112.75635830308,9687.24364169693,62.2551271660615
145,300,3100.25635830278,9649.74364169723,62.0051271660556
146,300,3087.75635830252,9612.24364169748,61.7551271660505
147,300,3075.25635830231,9574.7436416977,61.5051271660462
148,300,3062.75635830213,9537.24364169788,61.2551271660425
149,300,3050.25635830197,9499.74364169803,61.0051271660395
150,300,3037.75635830184,9462.24364169817,60.7551271660369
151,300,3025.25635830173,9424.74364169828,60.5051271660347
152,300,3012.75635830164,9387.24364169837,60.2551271660328
153,300,3000.25635830156,9349.74364169845,60.0051271660312
154,300,2987.75635830149,9312.24364169851,59.7551271660299
155,300,2975.25635830144,9274.74364169857,59.5051271660288
156,300,2962.75635830139,9237.24364169862,59.2551271660278
157,300,2950.25635830135,9199.74364169866,59.005127166027
158,300,2937.75635830132,9162.24364169869,58.7551271660263
159,300,2925.25635830129,9124.74364169872,58.5051271660257
160,300,2912.75635830126,9087.24364169875,58.2551271660252
161,300,2900.25635830124,9049.74364169877,58.0051271660248
162,300,2887.75635830122,9012.24364169879,57.7551271660245
163,300,2875.25635830121,8974.7436416988,57.5051271660242
164,300,2862.7563583012,8937.24364169881,57.2551271660239
165,300,2850.25635830119,8899.74364169882,57.0051271660237
166,300,2837.75635830118,8862.24364169883,56.7551271660235
167,300,2825.25635830117,8824.74364169884,56.5051271660234
168,300,2812.75635830116,8787.24364169885,56.2551271660232
169,300,2800.25635830116,8749.74364169885,56.0051271660231
170,300,2787.75635830115,8712.24364169886,55.755127166023
171,300,2775.25635830115,8674.74364169886,55.505127166023
172,300,2762.75635830114,8637.24364169887,55.2551271660229
173,300,2750.25635830114,8599.74364169887,55.0051271660228
174,300,2737.75635830114,8562.24364169887,54.7551271660228
175,300,2725.25635830114,8524.74364169887,54.5051271660228
176,300,2712.75635830114,8487.24364169887,54.2551271660227
177,300,2700.25635830113,8449.74364169888,54.0051271660227
178,300,2687.75635830113,8412.24364169888,53.7551271660227
179,300,2675.25635830113,8374.74364169888,53.5051271660227
180,300,2662.75635830113,8337.24364169888,53.2551271660226
